City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,jacareacanga,BR,-6.22,-57.76,1528902000,89.6,62,0,6.93
1,kaitangata,NZ,-46.28,169.85,1528905304,42.61,94,100,5.64
2,goulburn,AU,-34.75,149.72,1528905078,44.32,91,20,10.11
3,lata,IN,30.78,78.62,1528905305,59.89,89,76,0.94
4,chokurdakh,RU,70.62,147.9,1528905306,32.17,88,0,2.95
5,martyush,RU,56.4,61.89,1528905306,55.03,94,92,9.33
6,hobart,AU,-42.88,147.33,1528902000,44.6,87,20,8.05
7,broken hill,AU,-31.97,141.45,1528905311,44.5,88,0,7.31
8,harnosand,SE,62.63,17.94,1528903200,60.8,44,0,13.87
9,tuatapere,NZ,-46.13,167.69,1528905312,38.92,100,0,3.4
10,puerto ayora,EC,-0.74,-90.35,1528902000,77,69,90,13.87
11,havre-saint-pierre,CA,50.23,-63.6,1528902000,53.6,58,75,19.46
12,punta arenas,CL,-53.16,-70.91,1528902000,35.6,100,0,9.17
13,tasiilaq,GL,65.61,-37.64,1528901400,39.2,60,75,2.24
14,chapais,CA,49.78,-74.86,1528902000,59,38,40,10.29
15,avarua,CK,-21.21,-159.78,1528902000,73.4,56,40,10.29
16,hofn,IS,64.25,-15.21,1528902000,51.8,87,75,8.05
17,yukamenskoye,RU,57.89,52.24,1528905315,56.65,98,92,10.22
18,khandbari,NP,27.38,87.21,1528905315,44.59,67,80,1.39
19,bethel,US,60.79,-161.76,1528901580,44.6,93,1,8.05
20,ushuaia,AR,-54.81,-68.31,1528902000,41,64,75,3.36
21,east london,ZA,-33.02,27.91,1528902000,69.8,37,0,5.82
22,bluff,AU,-23.58,149.07,1528905321,61.96,76,76,4.74
23,mount isa,AU,-20.73,139.49,1528902000,64.4,100,75,3.29
24,pevek,RU,69.7,170.27,1528905321,36.94,71,0,6.98
25,gao,ML,16.28,-0.04,1528905321,110.02,16,24,4.97
26,cabo san lucas,MX,22.89,-109.91,1528901160,84.2,74,75,10.29
27,sao filipe,CV,14.9,-24.5,1528905323,75.73,88,0,13.02
28,tiksi,RU,71.64,128.87,1528905298,57.73,58,44,10.11
29,busselton,AU,-33.64,115.35,1528905323,60.43,100,92,10.56
30,alofi,NU,-19.06,-169.92,1528902000,71.6,88,76,3.36
31,ola,RU,59.58,151.3,1528902000,42.8,100,75,7.76
32,atar,MR,20.52,-13.05,1528902000,91.4,19,20,9.17
33,rikitea,PF,-23.12,-134.97,1528905325,73.57,100,0,8.66
34,hermanus,ZA,-34.42,19.24,1528905325,77.17,24,0,8.66
35,ponta delgada,PT,37.73,-25.67,1528903800,71.6,88,75,12.75
36,bambari,CF,5.77,20.68,1528905326,81.85,84,24,7.65
37,cap malheureux,MU,-19.98,57.61,1528902000,75.2,69,75,14.99
38,puerto escondido,MX,15.86,-97.07,1528901100,80.6,65,75,3.36
39,qaanaaq,GL,77.48,-69.36,1528905330,31.45,100,32,6.31
40,new norfolk,AU,-42.78,147.06,1528902000,44.6,87,20,8.05
41,najran,SA,17.54,44.22,1528902000,98.6,13,40,11.41
42,isla mujeres,MX,21.23,-86.73,1528904340,75.2,100,90,16.11
43,mar del plata,AR,-46.43,-67.52,1528905297,32.53,100,0,7.31
44,provideniya,RU,64.42,-173.23,1528905332,40.63,91,0,10.78
45,jamestown,AU,-33.21,138.6,1528905333,43.15,88,12,10.89
46,medicine hat,CA,50.04,-110.68,1528902000,66.2,34,20,14.99
47,katsuura,JP,33.93,134.5,1528905334,62.05,88,8,7.54
48,aklavik,CA,68.22,-135.01,1528902000,51.8,53,20,11.41
49,tuktoyaktuk,CA,69.44,-133.03,1528902000,46.4,61,20,6.93
50,kapaa,US,22.08,-159.32,1528901760,75.2,88,90,14.99
51,mildura,AU,-34.18,142.16,1528905300,45.67,92,0,9.66
52,souillac,FR,45.6,-0.6,1528903800,73.4,49,75,10.29
53,lorengau,PG,-2.02,147.27,1528905336,80.59,100,100,3.85
54,praia,BR,-20.25,-43.81,1528902000,82.4,47,20,3.36
55,port alfred,ZA,-33.59,26.89,1528905338,76.54,50,0,7.2
56,barranca,PE,-10.75,-77.76,1528905339,61.87,98,0,9.89
57,nome,US,30.04,-94.42,1528902900,87.8,70,40,3.36
58,matay,EG,28.42,30.79,1528905339,97.69,23,0,6.98
59,saskylakh,RU,71.97,114.09,1528905339,59.53,55,48,5.86
60,itarema,BR,-2.92,-39.92,1528905340,88.33,61,0,12.57
61,butaritari,KI,3.07,172.79,1528905340,81.13,100,56,7.31
62,peniche,PT,39.36,-9.38,1528903800,75.2,64,20,12.75
63,beloha,MG,-25.17,45.06,1528905340,71.95,57,0,16.37
64,anadyr,RU,64.73,177.51,1528902000,48.2,57,0,4.47
65,luderitz,NA,-26.65,15.16,1528905342,64.03,64,12,17.38
66,rochester,US,44.02,-92.46,1528902960,73.4,37,1,6.93
67,bosaso,SO,11.28,49.18,1528905347,89.77,86,0,3.96
68,faanui,PF,-16.48,-151.75,1528905347,79.96,100,0,11.79
69,grindavik,IS,63.84,-22.43,1528902000,48.2,70,75,5.82
70,margate,AU,-43.03,147.26,1528902000,44.6,87,20,8.05
71,marsh harbour,BS,26.54,-77.06,1528905349,82.39,95,88,10
72,comodoro rivadavia,AR,-45.87,-67.48,1528902000,42.8,60,40,9.17
73,upernavik,GL,72.79,-56.15,1528905350,29.29,100,92,3.74
74,uige,AO,-7.61,15.06,1528905350,86.8,29,0,3.18
75,bredasdorp,ZA,-34.53,20.04,1528902000,82.4,23,0,5.82
76,bodden town,KY,19.28,-81.25,1528902000,80.6,78,40,16.11
77,guerrero negro,MX,27.97,-114.04,1528905350,63.85,88,44,3.74
78,bilma,NE,18.69,12.92,1528905351,110.47,12,0,4.63
79,carnarvon,ZA,-30.97,22.13,1528905351,60.43,30,0,14.25
80,ponta do sol,BR,-20.63,-46,1528905352,78.25,72,12,3.96
81,vila franca do campo,PT,37.72,-25.43,1528903800,71.6,88,75,12.75
82,puerto del rosario,ES,28.5,-13.86,1528903800,73.4,60,20,17.22
83,sitka,US,37.17,-99.65,1528905353,74.02,92,20,5.97
84,camacha,PT,33.08,-16.33,1528903800,68,72,75,16.11
85,saint-philippe,CA,45.36,-73.48,1528902900,78.8,54,1,11.41
86,port blair,IN,11.67,92.75,1528905357,84.37,97,92,25.1
87,albany,US,42.65,-73.75,1528903860,69.8,68,90,3.36
88,barrow,AR,-38.31,-60.23,1528905182,50.26,72,88,8.21
89,qorveh,IR,35.17,47.8,1528905357,76.72,22,92,3.18
90,san jeronimo,PE,-13.65,-73.37,1528902000,46.4,81,90,2.39
91,mataura,NZ,-46.19,168.86,1528905299,25.69,79,24,3.18
92,buala,SB,-8.15,159.59,1528905359,78.7,100,64,4.18
93,eyl,SO,7.98,49.82,1528905359,86.62,57,20,22.41
94,abu dhabi,AE,24.47,54.37,1528902000,98.6,29,0,16.11
95,tahe,CN,52.34,124.71,1528905359,51.43,98,92,2.17
96,chuy,UY,-33.69,-53.46,1528905099,52.87,93,80,28.9
97,dzerzhinskoye,RU,56.84,95.22,1528905360,65.11,69,8,3.85
98,vanavara,RU,60.35,102.28,1528905360,64.21,50,0,5.64
99,muros,ES,42.77,-9.06,1528903800,66.2,72,40,10.29
100,auchel,FR,50.51,2.47,1528903800,68,49,0,3.36
101,bubaque,GW,11.28,-15.83,1528902000,91.4,55,40,11.41
102,khatanga,RU,71.98,102.47,1528905361,60.97,65,8,4.63
103,los banos,US,37.06,-120.85,1528904100,75.2,67,1,4.74
104,labuhan,ID,-2.54,115.51,1528905361,72.94,95,12,1.83
105,saint-paul,FR,45.22,1.9,1528903800,68,56,75,14.99
106,petatlan,MX,17.52,-101.27,1528901220,84.2,74,90,1.83
107,baykit,RU,61.68,96.39,1528905366,63.94,68,36,4.29
108,dalby,AU,-27.18,151.26,1528902000,53.6,93,75,2.24
109,yellowknife,CA,62.45,-114.38,1528902540,46.4,93,90,8.05
110,hilo,US,19.71,-155.08,1528901580,66.2,88,75,5.82
111,turukhansk,RU,65.8,87.96,1528905297,66.37,76,36,6.42
112,dingle,PH,11,122.67,1528905368,79.96,82,68,8.21
113,dillon,US,45.22,-112.64,1528901580,57.2,44,1,5.82
114,labytnangi,RU,66.66,66.39,1528905370,47.11,75,64,17.49
115,gigmoto,PH,13.78,124.39,1528905370,83.56,98,36,17.6
116,nouakchott,MR,18.08,-15.98,1528905371,76.72,76,68,1.39
117,rumoi,JP,43.93,141.67,1528905371,44.41,100,92,8.1
118,dikson,RU,73.51,80.55,1528905373,31.09,100,32,13.13
119,chinsali,ZM,-10.55,32.07,1528905377,73.39,36,0,9.22
120,georgetown,GY,6.8,-58.16,1528902000,82.4,78,75,9.17
121,tooele,US,40.53,-112.3,1528902900,73.4,35,1,9.17
