Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,WindSpeed
75,AU,1553920856,38,-41.43,147.14,18.33000000000004,6.2
8,EC,1553919308,89,-0.74,-90.35,25.560000000000002,1.79
8,PT,1553920824,79,41.42,-6.55,0.8240000000000123,0.87
20,AU,1553920796,44,-33.21,138.6,17.174000000000035,7.37
75,BN,1553918400,70,5.28,115.24,32.0,2.6
0,IN,1553918400,58,15.34,74.49,28.0,2.1
90,US,1553920715,70,42.65,-73.75,8.0,1.5
0,ID,1553921061,89,-4.2,104.14,31.174000000000035,2.02
20,EC,1553921061,94,0.07,-80.05,20.874000000000024,1.27
0,NZ,1553920208,73,-46.19,168.86,20.560000000000002,2.52
90,GL,1553917800,86,60.91,-46.05,-2.0,0.5
48,RU,1553921062,98,73.51,80.55,-3.5259999999999536,13.07
44,AO,1553921062,69,-11.78,19.91,22.424000000000035,1.62
90,CA,1553918400,62,55.74,-97.86,-6.0,3.6
0,AU,1553920523,23,-33.64,115.35,26.670000000000016,1.97
92,CA,1553920755,88,43.74,-81.71,4.439999999999998,1.34
32,AU,1553920817,34,-20.74,116.85,35.57400000000001,7.97
44,PG,1553921063,89,-6.21,149.55,27.874000000000024,1.17
36,CN,1553921063,85,38.52,102.19,4.124000000000024,2.12
64,ZA,1553920363,96,-34.42,19.24,17.78000000000003,1.67
0,PK,1553921063,62,25.12,62.33,27.974000000000046,3.27
40,CA,1553918400,62,55.1,-105.3,-4.0,1.07
0,CH,1553920942,70,46.69,7.86,4.439999999999998,1.52
24,TR,1553921064,64,40.67,33.6,-4.025999999999954,1.47
68,GL,1553917800,57,65.61,-37.64,-7.0,0.5
40,AR,1553918400,86,-54.81,-68.31,5.0,2.1
12,PH,1553921064,97,5.4,125.46,27.874000000000024,4.92
0,IS,1553920820,100,63.44,-20.27,-4.275999999999954,2.87
75,CA,1553918400,74,65.28,-126.83,1.0,2.6
0,PT,1553920635,76,37.14,-8.45,13.0,3.6
